kterms_repetido_pmi,kterms_repetido_pmi_odds,kterms_unico_pmi,kterms_unico_pmi_odds
negativo,negativo,negativo,negativo
"['concession', 2.8499209182781384]","['monday', 0.2525580112721171]","['hub', 2.8927159066589647]","['monday', 0.2086786262592732]"
"['pointing', 2.8499209182781384]","['country', 0.19526785429045027]","['delays', 2.8927159066589647]","['brazilian', 0.18312360332643743]"
"['blocks', 2.8499209182781384]","['brazilian', 0.1899211076778444]","['minority', 2.8927159066589647]","['terms', 0.18215802827363112]"
"['avoiding', 2.8499209182781384]","['capital', 0.18948285057209083]","['loans', 2.8927159066589647]","['sources', 0.17903563970246245]"
"['aberdeen', 2.8499209182781384]","['newspaper', 0.18308194264663358]","['neves', 2.8927159066589647]","['term', 0.16513550197098933]"
"['exploring', 2.8499209182781384]","['week', 0.17878590720376086]","['lengthen', 2.8927159066589647]","['parra', 0.16513550197098933]"
"['fee', 2.8499209182781384]","['head', 0.17347687337657436]","['shifting', 2.8927159066589647]","['guillermo', 0.16513550197098933]"
"['hub', 2.849920918278138]","['local', 0.16317653011396963]","['brl', 2.8927159066589647]","['past', 0.16513550197098933]"
"['automatically', 2.849920918278138]","['take', 0.15877962523237715]","['cacs', 2.8927159066589647]","['week', 0.16513550197098933]"
"['delays', 2.849920918278138]","['new', 0.15705220793714153]","['bodes', 2.8927159066589647]","['petr', 0.1567020034568747]"
"['loans', 2.849920918278138]","['costs', 0.1563437172629973]","['sanitation', 2.8927159066589647]","['leo', 0.15607414553379398]"
"['neves', 2.849920918278138]","['since', 0.15367230311975416]","['happens', 2.8927159066589647]","['paper', 0.14847904501254036]"
"['lengthen', 2.849920918278138]","['paper', 0.15299846341402792]","['watch', 2.8927159066589647]","['executive', 0.14847904501254036]"
"['brl', 2.849920918278138]","['sources', 0.152655177870248]","['waivers', 2.8927159066589647]","['capital', 0.14223299179471374]"
"['cacs', 2.849920918278138]","['plunged', 0.1524172061049673]","['stakes', 2.8927159066589647]","['bernal', 0.14081549870713814]"
"['bodes', 2.849920918278138]","['global', 0.15211812818102213]","['continuing', 2.8927159066589647]","['paulo', 0.13911718236303]"
"['sanitation', 2.849920918278138]","['could', 0.15209079112692964]","['caught', 2.8927159066589647]","['billion', 0.13673453183371478]"
"['mostly', 2.849920918278138]","['terms', 0.14710144971532782]","['show', 2.8927159066589647]","['management', 0.13216510103434967]"
"['happens', 2.849920918278138]","['record', 0.1468034006665333]","['mining', 2.8927159066589647]","['local', 0.13216510103434967]"
"['watch', 2.849920918278138]","['still', 0.14642930615892003]","['trimming', 2.8927159066589647]","['rig', 0.12493873660829992]"
"['waivers', 2.849920918278138]","['three', 0.14592796020363008]","['camargo', 2.8927159066589647]","['controlled', 0.12493873660829992]"
"['continuing', 2.849920918278138]","['measures', 0.14250702018711217]","['elek', 2.8927159066589647]","['shareholders', 0.12493873660829992]"
"['caught', 2.849920918278138]","['seems', 0.1397755832580889]","['rate', 2.8927159066589647]","['newspaper', 0.12493873660829992]"
"['mining', 2.849920918278138]","['make', 0.13961562003539113]","['shut', 2.8927159066589647]","['representatives', 0.12493873660829992]"
"['trimming', 2.849920918278138]","['held', 0.13823621579926573]","['accelerate', 2.8927159066589647]","['rigs', 0.12493873660829992]"
